text,category,confidence,priority
Delete my account,account,0.81,medium
Thanks for support and also Thanks for support,other,0.32,low
Change email address and also Delete my account,account,0.85,medium
feature response nahi de raha and also White screen after login,technical,0.91,medium
hello bhai,other,0.21,low
Page keeps reloading,technical,0.88,medium
Charged twice for same order and also Invoice amount incorrect,billing,0.86,high
Refund not received after cancellation and also Refund not received after cancellation,billing,0.85,medium
account details change karni hai,account,0.82,medium
Password reset link expired,authentication,0.84,medium
High latency issue,network,0.76,medium
Auto debit happened unexpectedly and also Payment failed but money deducted,billing,0.84,high
otp nahi aa raha,authentication,0.8,medium
Please check,other,0.38,low
This is not working,other,0.39,low
Delete my account,account,0.79,medium
Refund not received after cancellation,billing,0.77,medium
Update phone number and also Delete my account,account,0.91,medium
Please check,other,0.38,low
Good morning,other,0.4,low
Update username,account,0.92,low
Hello,other,0.38,low
App disconnects frequently and also Network unstable,network,0.87,high
Button not working,technical,0.83,medium
I need help,other,0.23,low
Good morning and also I need help,other,0.27,low
OTP not received,authentication,0.84,high
Subscription charged after cancellation,billing,0.85,high
payment cut ho gaya but service nahi mila,billing,0.8,medium
Charged twice for same order,billing,0.83,high
Unexpected server error and also Feature not responding,technical,0.85,high
Cannot login with correct password,authentication,0.94,high
Subscription charged after cancellation and also Refund not received after cancellation,billing,0.8,medium
Invoice amount incorrect and also Refund not received after cancellation,billing,0.81,medium
wifi se connect nahi ho raha and also High latency issue,network,0.75,medium
Please check,other,0.23,low
wifi se connect nahi ho raha,network,0.82,medium
Delete my acount,account,0.78,low
Works on mobile data but not wifi,network,0.88,medium
hello bhai and also This is not working,other,0.31,low
I need help,other,0.32,low
app bar bar crash ho raha hai,technical,0.76,high
Network unstable,network,0.94,medium
Session expired quickly,authentication,0.91,medium
wifi se connect nahi ho raha,network,0.94,medium
Cannot login with correct password and also OTP not received,authentication,0.85,high
Hello,other,0.33,low
Good morning,other,0.39,low
app bar bar crash ho raha hai,technical,0.88,high
Cannot login with correct password,authentication,0.76,high
Update username,account,0.9,low
Page keeps reloading,technical,0.8,medium
Change email address,account,0.83,low
I need help and also Good morning,other,0.33,low
Modify profile details,account,0.9,low
Account locked unexpectedly and also OTP not received,authentication,0.78,high
feature response nahi de raha,technical,0.91,medium
Works on mobile data but not wifi and also High latency issue,network,0.78,medium
Works on mobile data but not wifi,network,0.83,medium
Good morning,other,0.4,low
Password reset link expired and also Password reset link expired,authentication,0.82,medium
Works on mobile data but not wifi,network,0.91,medium
hello bhai and also I need help,other,0.29,low
Update phone number,account,0.84,low
Auto debit happened unexpectedly,billing,0.83,medium
Page keeps reloading and also Button not working,technical,0.85,medium
otp nahi aa raha,authentication,0.89,medium
Payment failed but money deducted,billing,0.93,high
Subscription charged after cancellation and also Payment failed but money deducted,billing,0.88,high
Network unstable,network,0.83,medium
Modify profile details,account,0.79,low
Password reset link expired and also Session expired quickly,authentication,0.78,medium
Auto debit happened unexpectedly and also Auto debit happened unexpectedly,billing,0.89,medium
pymnt failed but money deducted,billing,0.78,high
Update username and also Update phone number,account,0.78,low
OTP not received and also Cannot login with correct password,authentication,0.94,high
Please check,other,0.27,low
network issue aa raha hai,network,0.92,medium
Works on mobile data but not wifi,network,0.91,medium
Hello and also This is not working,other,0.38,low
Subscription charged after cancellation and also Invoice amount incorrect,billing,0.87,high
Cannot logn with correct password,authentication,0.89,medium
Update phone number,account,0.81,low
Button not working,technical,0.89,medium
White screen after login,technical,0.82,medium
Update phone number and also Delete my account,account,0.79,medium
Subscription charged after cancellation,billing,0.92,high
Delete my account,account,0.79,medium
High latency issue,network,0.85,medium
Network unstable,network,0.92,medium
App crashes on upload,technical,0.87,high
Feature not responding,technical,0.79,medium
App disconnects frequently and also Connection timeout error,network,0.88,high
Hello,other,0.26,low
Update username,account,0.76,low
Refund not received after cancellation,billing,0.78,medium
OTP not received,authentication,0.81,high
Account locked unexpectedly,authentication,0.92,high
Session expired quickly and also Password reset link expired,authentication,0.91,medium
Connection timeout error,network,0.88,high
Works on mobile data but not wifi and also Connection timeout error,network,0.91,high
Please check,other,0.21,low
OTP not received,authentication,0.83,high
High latency issue and also High latency issue,network,0.95,medium
App disconnects frequently and also Connection timeout error,network,0.89,high
App crashes on upload,technical,0.77,high
OTP not received,authentication,0.91,high
OTP not received,authentication,0.9,high
White screen after login,technical,0.82,medium
App disconnects frequently,network,0.94,high
Modify profile details,account,0.84,low
Account locked unexpectedly and also Account locked unexpectedly,authentication,0.83,high
Thanks for support,other,0.31,low
Thanks for support,other,0.29,low
Account locked unexpectedly,authentication,0.8,high
account details change karni hai and also Change email address,account,0.88,low
refund abhi tak nahi mila and also Payment failed but money deducted,billing,0.94,high
Network unstable and also App disconnects frequently,network,0.83,high
mera email address update karna hai,account,0.83,low
app bar bar crash ho raha hai,technical,0.86,high
Cannot login with correct password,authentication,0.82,high
Update phone number,account,0.85,low
Auto debit happened unexpectedly,billing,0.88,medium
Change email address,account,0.92,low
Password reset link expired and also OTP not received,authentication,0.95,high
Update username,account,0.89,low
Account locked unexpectedly and also Session expired quickly,authentication,0.77,high
Change email address,account,0.87,low
thoda help chahiye and also Thanks for support,other,0.4,low
Modify profile details,account,0.81,low
Connection timeout error,network,0.81,high
This is not working and also Please check,other,0.23,low
I need help,other,0.27,low
Invoice amount incorrect,billing,0.79,medium
Works on mobile data but not wifi and also High latency issue,network,0.84,medium
payment cut ho gaya but service nahi mila and also Charged twice for same order,billing,0.81,high
Charged twice for same order,billing,0.76,high
Charged twice for same order,billing,0.8,high
Subscription charged after cancellation,billing,0.93,high
Change email address,account,0.86,low
mera email address update karna hai,account,0.92,low
network issue aa raha hai,network,0.9,medium
OTP not received,authentication,0.76,high
Hello and also Hello,other,0.37,low
Hello,other,0.36,low
Payment failed but money deducted,billing,0.78,high
Session expired quickly,authentication,0.88,medium
Thanks for support and also I need help,other,0.36,low
App disconnects frequently,network,0.75,high
Unexpected server error,technical,0.86,high
hello bhai,other,0.34,low
Change email address and also Change email address,account,0.76,low
Change email address,account,0.77,low
feature response nahi de raha,technical,0.92,medium
Delete my account,account,0.91,medium
Hello,other,0.31,low
Thanks for support,other,0.29,low
Works on mobile data but not wifi,network,0.93,medium
Feature not responding,technical,0.83,medium
Cannot lgin with correct password,authentication,0.88,medium
Refund not received after cancellation and also Charged twice for same order,billing,0.92,medium
Thanks for support,other,0.32,low
mera email address update karna hai,account,0.84,low
White screen after login,technical,0.83,medium
Change email address,account,0.93,low
Update username and also Modify profile details,account,0.81,low
Please check and also Thanks for support,other,0.24,low
Button not working,technical,0.9,medium
Change email address,account,0.93,low
High latency issue,network,0.77,medium
account details change karni hai and also Delete my account,account,0.82,medium
feature response nahi de raha,technical,0.82,medium
Account locked unexpectedly,authentication,0.86,high
Page keeps reloading,technical,0.79,medium
Delete my account,account,0.78,medium
Subscription charged after cancellation,billing,0.82,high
Account locked unexpectedly,authentication,0.94,high
Network unstable,network,0.85,medium
Feature not responding,technical,0.92,medium
Cannot login with correct password,authentication,0.88,high
Cannot logn with correct password,authentication,0.9,medium
thoda help chahiye,other,0.22,low
Change email address,account,0.85,low
Button not working,technical,0.86,medium
Connection timeout error,network,0.8,high
Payment failed but money deducted,billing,0.9,high
Connection timeout error,network,0.79,high
Feature not responding,technical,0.83,medium
Delete my account,account,0.94,medium
Update username,account,0.9,low
network issue aa raha hai and also App disconnects frequently,network,0.88,high
Subscription charged after cancellation and also Auto debit happened unexpectedly,billing,0.8,high
Button not working,technical,0.9,medium
Password reset link expired,authentication,0.77,medium
Change email address,account,0.83,low
Refund not received after cancellation and also Invoice amount incorrect,billing,0.77,medium
Refund not received after cancellation,billing,0.89,medium
Connection timeout error and also High latency issue,network,0.83,high
Subscription charged after cancellation and also Charged twice for same order,billing,0.9,high
Modify profile details,account,0.92,low
Works on mobile data but not wifi,network,0.77,medium
refund abhi tak nahi mila and also Payment failed but money deducted,billing,0.88,high
Modify profile details,account,0.85,low
Connection timeout error,network,0.91,high
network issue aa raha hai,network,0.83,medium
Change email address and also Delete my account,account,0.88,medium
Refund not received after cancellation and also Refund not received after cancellation,billing,0.9,medium
This is not working,other,0.35,low
account details change karni hai,account,0.9,medium
Works on mobile data but not wifi and also Network unstable,network,0.84,medium
OTP not received and also Account locked unexpectedly,authentication,0.9,high
Auto debit happened unexpectedly,billing,0.84,medium
Modify profile details and also Update phone number,account,0.89,low
Good morning and also Good morning,other,0.23,low
Please check,other,0.31,low
Good morning,other,0.3,low
account details change karni hai and also Change email address,account,0.87,low
Charged twice for same order,billing,0.8,high
Connection timeout error,network,0.83,high
Refund not received after cancellation,billing,0.94,medium
Update username,account,0.85,low
refund abhi tak nahi mila,billing,0.81,high
Thanks for support,other,0.39,low
hello bhai and also This is not working,other,0.3,low
Invoice amount incorrect,billing,0.88,medium
Payment failed but money deducted,billing,0.82,high
Update username and also Update phone number,account,0.85,low
Session expired quickly,authentication,0.8,medium
Works on mobile data but not wifi,network,0.76,medium
mera email address update karna hai,account,0.77,low
White screen after login,technical,0.83,medium
Delete my account,account,0.91,medium
Subscription charged after cancellation,billing,0.85,high
refund abhi tak nahi mila and also Payment failed but money deducted,billing,0.88,high
app bar bar crash ho raha hai and also Unexpected server error,technical,0.83,high
Update username and also Update username,account,0.91,low
OTP not received and also OTP not received,authentication,0.8,high
OTP not received,authentication,0.84,high
Network unstable,network,0.95,medium
mera email address update karna hai,account,0.78,low
Thanks for support and also This is not working,other,0.26,low
OTP not received and also OTP not received,authentication,0.8,high
mera email address update karna hai,account,0.76,low
acount locked unexpectedly,authentication,0.78,medium
Good morning and also Please check,other,0.26,low
Subscription charged after cancellation and also Auto debit happened unexpectedly,billing,0.94,high
Thanks for support,other,0.32,low
Please check,other,0.33,low
Refund not received after cancellation,billing,0.93,medium
Good morning,other,0.37,low
Update username,account,0.77,low
network issue aa raha hai,network,0.88,medium
app bar bar crash ho raha hai,technical,0.84,high
Button not working,technical,0.86,medium
Unexpected server error,technical,0.93,high
Delete my acount and also Modify profile details,account,0.92,low
thoda help chahiye and also I need help,other,0.4,low
mera email address update karna hai and also Update phone number,account,0.8,low
Unexpected server error,technical,0.9,high
Change email address,account,0.92,low
Unexpected server error,technical,0.94,high
Works on mobile data but not wifi and also High latency issue,network,0.76,medium
account details change karni hai,account,0.78,medium
I need help and also I need help,other,0.32,low
Change email address,account,0.91,low
app bar bar crash ho raha hai and also App crashes on upload,technical,0.87,high
App disconnects frequently and also High latency issue,network,0.94,high
Update username,account,0.94,low
Page keeps reloading,technical,0.85,medium
Update username,account,0.83,low
Thanks for support,other,0.26,low
login nahi ho raha,authentication,0.95,medium
app bar bar crash ho raha hai,technical,0.76,high
Works on mobile data but not wifi and also Connection timeout error,network,0.88,high
Please check and also Good morning,other,0.26,low
Auto debit happened unexpectedly,billing,0.88,medium
Account locked unexpectedly and also OTP not received,authentication,0.84,high
